User_Id,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,Watch_Tier,Age_Group,Last_Login_Year,Last_Login_Month
1,James Martinez,18,France,Premium,80.26,Drama,12-05-2024,Light,Youth,2024,May
2,John Miller,23,USA,Premium,321.75,Sci-Fi,05-02-2025,Light,Youth,2025,Feb
3,Emma Davis,60,UK,Basic,35.89,Comedy,24-01-2025,Light,Senior,2025,Jan
4,Emma Miller,44,USA,Premium,261.56,Documentary,25-03-2024,Light,Adult,2024,Mar
5,Jane Smith,68,USA,Standard,909.3,Drama,14-01-2025,Heavy,Senior,2025,Jan
6,David Johnson,21,USA,Standard,615.93,Romance,03-02-2025,Heavy,Youth,2025,Feb
7,John Hernandez,57,Canada,Standard,755.47,Romance,05-01-2025,Heavy,Senior,2025,Jan
8,Katie Hernandez,68,USA,Standard,145.23,Sci-Fi,30-10-2024,Light,Senior,2024,Oct
9,James Williams,39,UK,Basic,950.14,Action,16-04-2024,Heavy,Adult,2024,Apr
10,Alex Davis,55,Mexico,Standard,696.66,Horror,03-07-2024,Heavy,Senior,2024,Jul
11,Jane Miller,26,Japan,Standard,290.31,Action,11-09-2024,Light,Adult,2024,Sep
12,Jane Martinez,62,USA,Standard,490.39,Action,12-06-2024,Light,Senior,2024,Jun
13,Alex Martinez,65,Australia,Premium,712.23,Comedy,08-08-2024,Heavy,Senior,2024,Aug
14,Alex Smith,35,Germany,Premium,73.63,Sci-Fi,02-10-2024,Light,Adult,2024,Oct
15,Michael Jones,68,USA,Premium,359.3,Sci-Fi,25-07-2024,Light,Senior,2024,Jul
16,Chris Miller,39,Australia,Premium,768.19,Comedy,11-10-2024,Heavy,Adult,2024,Oct
17,Chris Davis,74,UK,Standard,610.7,Drama,03-07-2024,Heavy,Senior,2024,Jul
18,Emma Williams,59,Canada,Premium,813.46,Documentary,08-08-2024,Heavy,Senior,2024,Aug
19,Alex Johnson,63,Brazil,Premium,963.64,Action,08-08-2024,Heavy,Senior,2024,Aug
20,John Jones,67,Canada,Standard,460.6,Comedy,07-12-2024,Light,Senior,2024,Dec
21,Michael Williams,47,France,Standard,637.43,Horror,21-01-2025,Heavy,Senior,2025,Jan
22,James Martinez,46,UK,Premium,620.74,Comedy,19-04-2024,Heavy,Senior,2024,Apr
23,Sarah Davis,40,UK,Basic,451.59,Drama,08-04-2024,Light,Adult,2024,Apr
24,John Smith,46,UK,Basic,388.91,Horror,16-10-2024,Light,Senior,2024,Oct
25,Alex Brown,37,Canada,Basic,418.2,Horror,26-05-2024,Light,Adult,2024,May
26,Chris Johnson,26,Brazil,Premium,95.46,Sci-Fi,23-08-2024,Light,Adult,2024,Aug
27,James Jones,17,Mexico,Standard,253.6,Documentary,29-09-2024,Light,Youth,2024,Sep
28,Michael Johnson,37,France,Premium,936.05,Comedy,07-01-2025,Heavy,Adult,2025,Jan
29,Michael Johnson,59,Mexico,Basic,971.97,Drama,03-11-2024,Heavy,Senior,2024,Nov
30,Sarah Smith,67,Australia,Basic,542.57,Action,11-02-2025,Heavy,Senior,2025,Feb
31,Chris Jones,14,Germany,Premium,81.89,Drama,06-08-2024,Light,Youth,2024,Aug
32,John Williams,27,Canada,Standard,568.86,Sci-Fi,01-02-2025,Heavy,Adult,2025,Feb
33,Jane Brown,59,UK,Standard,67.28,Sci-Fi,21-07-2024,Light,Senior,2024,Jul
34,David Davis,56,Mexico,Basic,835.85,Documentary,11-07-2024,Heavy,Senior,2024,Jul
35,Emma Hernandez,52,India,Basic,91.07,Sci-Fi,04-12-2024,Light,Senior,2024,Dec
36,Michael Jones,26,UK,Basic,703.81,Comedy,06-06-2024,Heavy,Adult,2024,Jun
37,Sarah Williams,64,Germany,Basic,693.84,Documentary,28-06-2024,Heavy,Senior,2024,Jun
38,David Martinez,80,Brazil,Premium,431.61,Drama,08-08-2024,Light,Senior,2024,Aug
39,Emma Smith,70,USA,Standard,13.5,Comedy,27-10-2024,Light,Senior,2024,Oct
40,Sarah Hernandez,15,Brazil,Premium,914.7,Horror,30-04-2024,Heavy,Youth,2024,Apr
41,John Jones,23,Germany,Standard,404.84,Romance,29-10-2024,Light,Youth,2024,Oct
42,James Williams,40,Canada,Premium,610.93,Romance,02-10-2024,Heavy,Adult,2024,Oct
43,David Brown,35,Canada,Premium,834.96,Documentary,08-06-2024,Heavy,Adult,2024,Jun
44,Chris Garcia,68,Japan,Basic,145.66,Documentary,12-04-2024,Light,Senior,2024,Apr
45,Chris Jones,50,USA,Basic,370.08,Action,30-03-2024,Light,Senior,2024,Mar
46,John Johnson,45,India,Standard,474.83,Drama,01-11-2024,Light,Adult,2024,Nov
47,Sarah Smith,16,Brazil,Premium,321.21,Documentary,13-04-2024,Light,Youth,2024,Apr
48,Sarah Garcia,40,Australia,Basic,197.08,Comedy,19-10-2024,Light,Adult,2024,Oct
49,Michael Brown,57,Australia,Premium,420.58,Sci-Fi,18-09-2024,Light,Senior,2024,Sep
50,David Hernandez,72,Brazil,Basic,479.4,Action,13-07-2024,Light,Senior,2024,Jul
51,Sarah Jones,53,Germany,Standard,12.4,Horror,09-02-2025,Light,Senior,2025,Feb
52,Alex Jones,55,Japan,Basic,157.64,Action,28-12-2024,Light,Senior,2024,Dec
53,John Smith,65,Canada,Standard,589.28,Comedy,21-02-2025,Heavy,Senior,2025,Feb
54,Chris Martinez,27,France,Standard,367.56,Romance,27-02-2025,Light,Adult,2025,Feb
55,David Hernandez,72,USA,Premium,889.42,Horror,11-12-2024,Heavy,Senior,2024,Dec
56,Alex Davis,16,Mexico,Premium,739.71,Sci-Fi,11-08-2024,Heavy,Youth,2024,Aug
57,Jane Garcia,55,Japan,Basic,672.43,Documentary,01-12-2024,Heavy,Senior,2024,Dec
58,David Martinez,29,USA,Premium,625.92,Horror,02-05-2024,Heavy,Adult,2024,May
59,Michael Martinez,41,Japan,Premium,611.38,Drama,29-09-2024,Heavy,Adult,2024,Sep
60,Chris Smith,49,Australia,Premium,997.8,Comedy,14-08-2024,Heavy,Senior,2024,Aug
61,Alex Hernandez,70,Canada,Standard,17.03,Horror,11-07-2024,Light,Senior,2024,Jul
62,James Hernandez,70,India,Standard,251.57,Drama,07-05-2024,Light,Senior,2024,May
63,Katie Hernandez,68,France,Basic,247.53,Romance,15-02-2025,Light,Senior,2025,Feb
64,David Hernandez,55,France,Basic,637.46,Action,28-10-2024,Heavy,Senior,2024,Oct
65,Katie Martinez,28,USA,Premium,331.5,Comedy,10-01-2025,Light,Adult,2025,Jan
66,David Smith,40,France,Premium,539.51,Romance,15-05-2024,Heavy,Adult,2024,May
67,James Davis,27,Canada,Premium,347.83,Romance,25-07-2024,Light,Adult,2024,Jul
68,John Miller,33,Brazil,Basic,772.69,Action,11-01-2025,Heavy,Adult,2025,Jan
69,David Smith,66,Brazil,Premium,531.37,Sci-Fi,22-08-2024,Heavy,Senior,2024,Aug
70,Chris Davis,27,Germany,Standard,868.11,Action,11-11-2024,Heavy,Adult,2024,Nov
71,John Williams,52,Canada,Basic,482.75,Action,03-10-2024,Light,Senior,2024,Oct
72,David Garcia,45,Germany,Basic,111.95,Comedy,31-10-2024,Light,Adult,2024,Oct
73,Alex Williams,29,UK,Standard,915.15,Drama,12-02-2025,Heavy,Adult,2025,Feb
74,Emma Brown,58,USA,Standard,255.7,Sci-Fi,08-12-2024,Light,Senior,2024,Dec
75,Michael Davis,52,Germany,Premium,351.09,Sci-Fi,09-11-2024,Light,Senior,2024,Nov
76,Emma Garcia,51,India,Basic,890.7,Sci-Fi,18-05-2024,Heavy,Senior,2024,May
77,Jane Martinez,46,Brazil,Basic,452.21,Romance,21-08-2024,Light,Senior,2024,Aug
78,David Hernandez,60,India,Standard,703.49,Comedy,06-06-2024,Heavy,Senior,2024,Jun
79,James Davis,27,Australia,Premium,114.84,Romance,21-12-2024,Light,Adult,2024,Dec
80,James Williams,75,India,Premium,735.79,Documentary,16-10-2024,Heavy,Senior,2024,Oct
81,John Brown,70,USA,Premium,486.56,Horror,15-05-2024,Light,Senior,2024,May
